attempt,capture_slot,case_name,target_class,target_model,requested_x,requested_y,requested_yaw,status,ocr_success,classification_correct,valid_observations,failure_reason,duration_seconds,log_file,summary_file
1,1,case_001,food,cube_0,-0.943958648,-0.634771999,-1.5708,captured,True,True,5,,79.063,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260808_202136_seed550035/attempt_001/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260808_202136_seed550035/case_001/summary.json
2,2,case_002,electronics,cube_2,-0.942008075,-0.648883117,-1.5708,captured,False,False,0,NO_CLASS_KEYWORD,96.759,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260808_202136_seed550035/attempt_002/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260808_202136_seed550035/case_002/summary.json
3,3,case_003,food,cube_0,-0.935613479,-0.65943668,-1.5708,infrastructure_error,,,,waiting for AMCL pose timed out: command timed out after 2.6s: rostopic echo -n 1 /amcl_pose --noarr,71.894,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260808_202136_seed550035/attempt_003/roslaunch.log,
4,3,case_003_retry_02,food,cube_0,-0.935613479,-0.65943668,-1.5708,infrastructure_error,,,,waiting for mission server timed out: command timed out after 1.0s: rosnode info /smart_factory_mission,71.55,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260808_202136_seed550035/attempt_004/roslaunch.log,
5,3,case_003_retry_03,food,cube_0,-0.935613479,-0.65943668,-1.5708,captured,True,True,5,,78.328,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260808_202136_seed550035/attempt_005/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260808_202136_seed550035/case_003_retry_03/summary.json
6,4,case_004,food,cube_0,-0.941350811,-0.680866894,-1.5708,captured,True,True,5,,81.135,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260808_202136_seed550035/attempt_006/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260808_202136_seed550035/case_004/summary.json
7,5,case_005,daily,cube_1,-0.945883302,-0.677865173,-1.5708,captured,True,True,5,,88.274,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260808_202136_seed550035/attempt_007/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260808_202136_seed550035/case_005/summary.json
8,6,case_006,electronics,cube_2,-0.923323316,-0.633659761,-1.5708,infrastructure_error,,,,waiting for mission server timed out: command timed out after 0.7s: rosnode info /smart_factory_mission,71.833,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260808_202136_seed550035/attempt_008/roslaunch.log,
9,6,case_006_retry_02,electronics,cube_2,-0.923323316,-0.633659761,-1.5708,infrastructure_error,,,,waiting for mission server timed out: command timed out after 0.8s: rosnode info /smart_factory_mission,70.769,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260808_202136_seed550035/attempt_009/roslaunch.log,
10,6,case_006_retry_03,electronics,cube_2,-0.923323316,-0.633659761,-1.5708,captured,True,True,5,,80.065,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260808_202136_seed550035/attempt_010/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260808_202136_seed550035/case_006_retry_03/summary.json
