attempt,capture_slot,case_name,target_class,target_model,requested_x,requested_y,requested_yaw,status,ocr_success,classification_correct,valid_observations,object_translation_m,object_yaw_change_rad,object_moved,failure_reason,duration_seconds,log_file,summary_file
1,1,case_001,food,cube_0,-0.821,-0.555,-1.5708,captured,True,True,5,0.0,0.0,False,,69.116,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260809_171632_seed770690/attempt_001/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260809_171632_seed770690/case_001/summary.json
2,2,case_002,food,cube_0,-0.821,-0.555,-1.5708,captured,True,True,5,0.0,0.0,False,,70.648,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260809_171632_seed770690/attempt_002/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260809_171632_seed770690/case_002/summary.json
3,3,case_003,food,cube_0,-0.821,-0.555,-1.5708,captured,True,True,5,0.0,0.0,False,,70.548,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260809_171632_seed770690/attempt_003/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260809_171632_seed770690/case_003/summary.json
4,4,case_004,food,cube_0,-0.821,-0.555,-1.5708,captured,True,True,5,0.0,0.0,False,,69.123,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260809_171632_seed770690/attempt_004/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260809_171632_seed770690/case_004/summary.json
5,5,case_005,food,cube_0,-0.821,-0.555,-1.5708,captured,True,True,5,0.0,0.0,False,,67.737,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260809_171632_seed770690/attempt_005/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260809_171632_seed770690/case_005/summary.json
6,6,case_006,food,cube_0,-0.821,-0.555,-1.5708,captured,True,True,5,0.0,0.0,False,,78.801,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260809_171632_seed770690/attempt_006/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260809_171632_seed770690/case_006/summary.json
7,7,case_007,food,cube_0,-0.821,-0.555,-1.5708,captured,True,True,5,0.0,0.0,False,,72.283,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260809_171632_seed770690/attempt_007/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260809_171632_seed770690/case_007/summary.json
8,8,case_008,food,cube_0,-0.821,-0.555,-1.5708,captured,True,True,5,0.0,0.0,False,,67.728,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260809_171632_seed770690/attempt_008/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260809_171632_seed770690/case_008/summary.json
9,9,case_009,food,cube_0,-0.821,-0.555,-1.5708,captured,True,True,5,0.0,0.0,False,,68.19,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260809_171632_seed770690/attempt_009/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260809_171632_seed770690/case_009/summary.json
10,10,case_010,food,cube_0,-0.821,-0.555,-1.5708,captured,True,True,5,0.0,0.0,False,,72.959,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260809_171632_seed770690/attempt_010/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260809_171632_seed770690/case_010/summary.json
