round,scenario_id,source_round,repetition,attempt,infrastructure_retry_count,task_id,target_class,success,status,completed_stage,error_code,message,last_operational_stage,last_operational_stage_name,preceding_navigation_failure,delivery_navigation_failure,cone_collision,collision_cones,direct_contact_cones,moved_or_tilted_cones,cone_monitor_status,contact_stream_status,gazebo_recording_status,gazebo_recording_path,gazebo_recording_size_bytes,gazebo_recording_manifest,move_base_goal_count,duration_seconds,started_at,round_dir,log_file,cone_monitor_file,stress_template_file,case_file,scene_measurement_file,navigation_parameter_file,adaptive_monitor_file,adaptive_monitor_status,adaptive_mode_event_count,adaptive_diagnostic_sample_count,adaptive_avoidance_entries,adaptive_avoidance_used,adaptive_avoidance_command_samples,adaptive_avoidance_failure_recovery_samples,adaptive_avoidance_infeasible_samples,adaptive_baseline_fallback_events,adaptive_baseline_fallback_samples,adaptive_baseline_infeasible_samples,adaptive_both_planners_infeasible_samples,adaptive_minimum_plan_clearance_m
1,collision_round_011,11,1,1,0,fixed_cone_e2e_001_a01_1787414777,daily,True,task_completed,20,0,target cube delivered to daily workshop and released,20,TASK_COMPLETED,False,False,False,,,,complete,stopped,complete,/home/ianzhang/gazebo_ws/data/cone_zone/end_to_end_stress/failed_scenes_20260822_160246_stress_20260823_000616/round_001/gazebo_world_state.log,5634093,/home/ianzhang/gazebo_ws/data/cone_zone/end_to_end_stress/failed_scenes_20260822_160246_stress_20260823_000616/round_001/gazebo_world_recording.json,15,132.766,2026-08-23T00:06:17+08:00,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_001,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_001/roslaunch.log,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_001/cone_trial.json,,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_001/case_plan.json,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_001/scene_measured.json,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_001/navigation_parameters.json,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_001/adaptive_teb_diagnostics.json,complete,20,105,2,True,11,0,0,0,0,1,0,0.17485
2,collision_round_024,24,1,1,0,fixed_cone_e2e_002_a01_1787414912,electronics,True,task_completed,20,0,target cube delivered to electronics workshop and released,20,TASK_COMPLETED,False,False,False,,,,complete,stopped,complete,/home/ianzhang/gazebo_ws/data/cone_zone/end_to_end_stress/failed_scenes_20260822_160246_stress_20260823_000616/round_002/gazebo_world_state.log,11800275,/home/ianzhang/gazebo_ws/data/cone_zone/end_to_end_stress/failed_scenes_20260822_160246_stress_20260823_000616/round_002/gazebo_world_recording.json,16,149.882,2026-08-23T00:08:32+08:00,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_002,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_002/roslaunch.log,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_002/cone_trial.json,,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_002/case_plan.json,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_002/scene_measured.json,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_002/navigation_parameters.json,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_002/adaptive_teb_diagnostics.json,complete,19,129,2,True,70,0,0,0,0,0,0,0.167509
3,collision_round_037,37,1,1,0,fixed_cone_e2e_003_a01_1787415065,food,True,task_completed,20,0,target cube delivered to food workshop and released,20,TASK_COMPLETED,False,False,False,,,,complete,stopped,complete,/home/ianzhang/gazebo_ws/data/cone_zone/end_to_end_stress/failed_scenes_20260822_160246_stress_20260823_000616/round_003/gazebo_world_state.log,8340199,/home/ianzhang/gazebo_ws/data/cone_zone/end_to_end_stress/failed_scenes_20260822_160246_stress_20260823_000616/round_003/gazebo_world_recording.json,17,142.431,2026-08-23T00:11:05+08:00,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_003,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_003/roslaunch.log,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_003/cone_trial.json,,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_003/case_plan.json,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_003/scene_measured.json,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_003/navigation_parameters.json,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_003/adaptive_teb_diagnostics.json,complete,22,101,2,True,35,0,0,0,0,1,0,0.169176
4,failure_round_041_preceding_navigation_failure,41,1,1,0,fixed_cone_e2e_004_a01_1787415211,food,True,task_completed,20,0,target cube delivered to food workshop and released,20,TASK_COMPLETED,False,False,False,,,,complete,stopped,complete,/home/ianzhang/gazebo_ws/data/cone_zone/end_to_end_stress/failed_scenes_20260822_160246_stress_20260823_000616/round_004/gazebo_world_state.log,5013517,/home/ianzhang/gazebo_ws/data/cone_zone/end_to_end_stress/failed_scenes_20260822_160246_stress_20260823_000616/round_004/gazebo_world_recording.json,15,108.636,2026-08-23T00:13:31+08:00,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_004,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_004/roslaunch.log,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_004/cone_trial.json,,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_004/case_plan.json,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_004/scene_measured.json,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_004/navigation_parameters.json,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_004/adaptive_teb_diagnostics.json,complete,19,64,2,True,12,0,0,0,0,0,0,0.155965
5,collision_round_050,50,1,1,0,fixed_cone_e2e_005_a01_1787415322,food,True,task_completed,20,0,target cube delivered to food workshop and released,20,TASK_COMPLETED,False,False,False,,,,complete,stopped,complete,/home/ianzhang/gazebo_ws/data/cone_zone/end_to_end_stress/failed_scenes_20260822_160246_stress_20260823_000616/round_005/gazebo_world_state.log,8109496,/home/ianzhang/gazebo_ws/data/cone_zone/end_to_end_stress/failed_scenes_20260822_160246_stress_20260823_000616/round_005/gazebo_world_recording.json,16,140.37,2026-08-23T00:15:22+08:00,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_005,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_005/roslaunch.log,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_005/cone_trial.json,,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_005/case_plan.json,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_005/scene_measured.json,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_005/navigation_parameters.json,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_005/adaptive_teb_diagnostics.json,complete,21,117,2,True,33,0,0,0,0,1,0,0.163748
6,failure_round_051_delivery_navigation_failure,51,1,1,0,fixed_cone_e2e_006_a01_1787415466,electronics,True,task_completed,20,0,target cube delivered to electronics workshop and released,20,TASK_COMPLETED,False,False,False,,,,complete,stopped,complete,/home/ianzhang/gazebo_ws/data/cone_zone/end_to_end_stress/failed_scenes_20260822_160246_stress_20260823_000616/round_006/gazebo_world_state.log,20006017,/home/ianzhang/gazebo_ws/data/cone_zone/end_to_end_stress/failed_scenes_20260822_160246_stress_20260823_000616/round_006/gazebo_world_recording.json,15,195.77,2026-08-23T00:17:46+08:00,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_006,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_006/roslaunch.log,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_006/cone_trial.json,,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_006/case_plan.json,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_006/scene_measured.json,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_006/navigation_parameters.json,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_006/adaptive_teb_diagnostics.json,complete,19,207,2,True,152,0,1,0,0,4,0,0.17652
7,collision_round_055,55,1,1,0,fixed_cone_e2e_007_a01_1787415665,food,True,task_completed,20,0,target cube delivered to food workshop and released,20,TASK_COMPLETED,False,False,True,cone_10,,cone_10,complete,stopped,complete,/home/ianzhang/gazebo_ws/data/cone_zone/end_to_end_stress/failed_scenes_20260822_160246_stress_20260823_000616/round_007/gazebo_world_state.log,5693357,/home/ianzhang/gazebo_ws/data/cone_zone/end_to_end_stress/failed_scenes_20260822_160246_stress_20260823_000616/round_007/gazebo_world_recording.json,15,112.422,2026-08-23T00:21:05+08:00,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_007,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_007/roslaunch.log,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_007/cone_trial.json,,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_007/case_plan.json,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_007/scene_measured.json,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_007/navigation_parameters.json,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_007/adaptive_teb_diagnostics.json,complete,20,70,2,True,17,0,0,0,0,2,0,0.154937
8,collision_round_057,57,1,1,0,fixed_cone_e2e_008_a01_1787415780,food,True,task_completed,20,0,target cube delivered to food workshop and released,20,TASK_COMPLETED,False,False,True,cone_14,,cone_14,complete,stopped,complete,/home/ianzhang/gazebo_ws/data/cone_zone/end_to_end_stress/failed_scenes_20260822_160246_stress_20260823_000616/round_008/gazebo_world_state.log,10498880,/home/ianzhang/gazebo_ws/data/cone_zone/end_to_end_stress/failed_scenes_20260822_160246_stress_20260823_000616/round_008/gazebo_world_recording.json,16,147.233,2026-08-23T00:23:00+08:00,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_008,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_008/roslaunch.log,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_008/cone_trial.json,,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_008/case_plan.json,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_008/scene_measured.json,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_008/navigation_parameters.json,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_008/adaptive_teb_diagnostics.json,complete,20,115,2,True,50,0,1,0,0,1,0,0.170695
9,collision_round_058,58,1,1,0,fixed_cone_e2e_009_a01_1787415930,daily,True,task_completed,20,0,target cube delivered to daily workshop and released,20,TASK_COMPLETED,False,False,True,cone_17,,cone_17,complete,stopped,complete,/home/ianzhang/gazebo_ws/data/cone_zone/end_to_end_stress/failed_scenes_20260822_160246_stress_20260823_000616/round_009/gazebo_world_state.log,37375381,/home/ianzhang/gazebo_ws/data/cone_zone/end_to_end_stress/failed_scenes_20260822_160246_stress_20260823_000616/round_009/gazebo_world_recording.json,15,300.974,2026-08-23T00:25:30+08:00,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_009,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_009/roslaunch.log,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_009/cone_trial.json,,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_009/case_plan.json,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_009/scene_measured.json,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_009/navigation_parameters.json,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_009/adaptive_teb_diagnostics.json,complete,19,323,2,True,271,0,0,0,0,0,0,0.132223
10,collision_round_011,11,2,1,0,fixed_cone_e2e_010_a01_1787416234,daily,False,task_failed,250,7,waypoint 9/13: move_base finished with state 4,5,NAVIGATE_TO_PICKUP_STAGING,True,False,False,,,,complete,stopped,complete,/home/ianzhang/gazebo_ws/data/cone_zone/end_to_end_stress/failed_scenes_20260822_160246_stress_20260823_000616/round_010/gazebo_world_state.log,770777,/home/ianzhang/gazebo_ws/data/cone_zone/end_to_end_stress/failed_scenes_20260822_160246_stress_20260823_000616/round_010/gazebo_world_recording.json,10,58.706,2026-08-23T00:30:34+08:00,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_010,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_010/roslaunch.log,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_010/cone_trial.json,,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_010/case_plan.json,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_010/scene_measured.json,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_010/navigation_parameters.json,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260823_000616/round_010/adaptive_teb_diagnostics.json,complete,11,86,0,False,0,0,0,0,0,68,0,0.171733
