round,task_id,target_class,target_ground_truth_station,selected_station,observed_class_id,recognition_correct,recognition_status,recognition_failure,stuck,stuck_reason,success,status,completed_stage,last_operational_stage,error_code,message,cube_scene_status,cube_scene_file,gazebo_recording_status,gazebo_recording_path,gazebo_recording_size_bytes,gazebo_recording_manifest,progress_timeout_seconds,duration_seconds,started_at,round_dir,log_file
1,pre_cone_001_1786747274,food,35,35,0,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq35,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_064114_seed17408912072903517083/round_001/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_064114_seed17408912072903517083/round_001/gazebo_world_state.log,9770562,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_064114_seed17408912072903517083/round_001/gazebo_world_recording.json,90.0,110.894,2026-08-15T06:41:14+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_064114_seed17408912072903517083/round_001,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_064114_seed17408912072903517083/round_001/roslaunch.log
2,pre_cone_002_1786747397,daily,35,35,1,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq35,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_064114_seed17408912072903517083/round_002/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_064114_seed17408912072903517083/round_002/gazebo_world_state.log,8872523,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_064114_seed17408912072903517083/round_002/gazebo_world_recording.json,90.0,113.637,2026-08-15T06:43:17+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_064114_seed17408912072903517083/round_002,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_064114_seed17408912072903517083/round_002/roslaunch.log
3,pre_cone_003_1786747525,daily,35,35,1,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq35,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_064114_seed17408912072903517083/round_003/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_064114_seed17408912072903517083/round_003/gazebo_world_state.log,8716944,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_064114_seed17408912072903517083/round_003/gazebo_world_recording.json,90.0,123.939,2026-08-15T06:45:25+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_064114_seed17408912072903517083/round_003,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_064114_seed17408912072903517083/round_003/roslaunch.log
4,pre_cone_004_1786747664,food,37,37,0,True,correct,False,False,,True,object_grasped,14,13,0,target cube grasped and lifted from seq37,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_064114_seed17408912072903517083/round_004/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_064114_seed17408912072903517083/round_004/gazebo_world_state.log,11996631,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_064114_seed17408912072903517083/round_004/gazebo_world_recording.json,90.0,139.74,2026-08-15T06:47:44+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_064114_seed17408912072903517083/round_004,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_064114_seed17408912072903517083/round_004/roslaunch.log
5,pre_cone_005_1786747818,daily,36,36,1,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq36,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_064114_seed17408912072903517083/round_005/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_064114_seed17408912072903517083/round_005/gazebo_world_state.log,10425881,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_064114_seed17408912072903517083/round_005/gazebo_world_recording.json,90.0,128.318,2026-08-15T06:50:18+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_064114_seed17408912072903517083/round_005,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_064114_seed17408912072903517083/round_005/roslaunch.log
6,pre_cone_006_1786747961,food,37,37,0,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq37,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_064114_seed17408912072903517083/round_006/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_064114_seed17408912072903517083/round_006/gazebo_world_state.log,11172404,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_064114_seed17408912072903517083/round_006/gazebo_world_recording.json,90.0,144.016,2026-08-15T06:52:41+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_064114_seed17408912072903517083/round_006,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_064114_seed17408912072903517083/round_006/roslaunch.log
7,pre_cone_007_1786748123,daily,36,36,1,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq36,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_064114_seed17408912072903517083/round_007/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_064114_seed17408912072903517083/round_007/gazebo_world_state.log,10329356,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_064114_seed17408912072903517083/round_007/gazebo_world_recording.json,90.0,132.398,2026-08-15T06:55:23+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_064114_seed17408912072903517083/round_007,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_064114_seed17408912072903517083/round_007/roslaunch.log
8,pre_cone_008_1786748270,daily,37,37,1,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq37,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_064114_seed17408912072903517083/round_008/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_064114_seed17408912072903517083/round_008/gazebo_world_state.log,12357483,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_064114_seed17408912072903517083/round_008/gazebo_world_recording.json,90.0,148.995,2026-08-15T06:57:50+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_064114_seed17408912072903517083/round_008,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_064114_seed17408912072903517083/round_008/roslaunch.log
9,pre_cone_009_1786748437,daily,36,36,1,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq36,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_064114_seed17408912072903517083/round_009/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_064114_seed17408912072903517083/round_009/gazebo_world_state.log,10228775,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_064114_seed17408912072903517083/round_009/gazebo_world_recording.json,90.0,132.381,2026-08-15T07:00:37+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_064114_seed17408912072903517083/round_009,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_064114_seed17408912072903517083/round_009/roslaunch.log
10,pre_cone_010_1786748584,daily,35,35,1,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq35,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_064114_seed17408912072903517083/round_010/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_064114_seed17408912072903517083/round_010/gazebo_world_state.log,8333467,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_064114_seed17408912072903517083/round_010/gazebo_world_recording.json,90.0,119.005,2026-08-15T07:03:04+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_064114_seed17408912072903517083/round_010,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_064114_seed17408912072903517083/round_010/roslaunch.log
