round,task_id,target_class,target_ground_truth_station,selected_station,observed_class_id,recognition_correct,recognition_status,recognition_failure,stuck,stuck_reason,success,status,completed_stage,last_operational_stage,error_code,message,cube_scene_status,cube_scene_file,gazebo_recording_status,gazebo_recording_path,gazebo_recording_size_bytes,gazebo_recording_manifest,performance_file,progress_timeout_seconds,duration_seconds,started_at,round_dir,log_file
1,pre_cone_001_1786818651,electronics,37,37,2,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq37,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_001/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_001/gazebo_world_state.log,11751803,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_001/gazebo_world_recording.json,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_001/performance.json,90.0,134.586,2026-08-16T02:30:51+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_001,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_001/roslaunch.log
2,pre_cone_002_1786818800,electronics,36,36,2,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq36,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_002/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_002/gazebo_world_state.log,10606695,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_002/gazebo_world_recording.json,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_002/performance.json,90.0,118.764,2026-08-16T02:33:20+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_002,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_002/roslaunch.log
3,pre_cone_003_1786818934,daily,36,36,1,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq36,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_003/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_003/gazebo_world_state.log,10878345,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_003/gazebo_world_recording.json,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_003/performance.json,90.0,121.129,2026-08-16T02:35:34+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_003,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_003/roslaunch.log
4,pre_cone_004_1786819070,food,36,36,0,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq36,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_004/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_004/gazebo_world_state.log,10661752,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_004/gazebo_world_recording.json,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_004/performance.json,90.0,111.805,2026-08-16T02:37:50+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_004,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_004/roslaunch.log
5,pre_cone_005_1786819196,food,36,36,0,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq36,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_005/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_005/gazebo_world_state.log,10842300,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_005/gazebo_world_recording.json,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_005/performance.json,90.0,119.515,2026-08-16T02:39:56+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_005,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_005/roslaunch.log
6,pre_cone_006_1786819328,electronics,36,36,2,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq36,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_006/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_006/gazebo_world_state.log,11064415,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_006/gazebo_world_recording.json,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_006/performance.json,90.0,120.628,2026-08-16T02:42:08+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_006,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_006/roslaunch.log
7,pre_cone_007_1786819463,electronics,35,35,2,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq35,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_007/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_007/gazebo_world_state.log,10436399,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_007/gazebo_world_recording.json,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_007/performance.json,90.0,106.825,2026-08-16T02:44:23+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_007,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_007/roslaunch.log
8,pre_cone_008_1786819585,food,37,37,0,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq37,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_008/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_008/gazebo_world_state.log,10828173,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_008/gazebo_world_recording.json,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_008/performance.json,90.0,119.908,2026-08-16T02:46:25+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_008,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_008/roslaunch.log
9,pre_cone_009_1786819716,food,35,35,0,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq35,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_009/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_009/gazebo_world_state.log,9457379,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_009/gazebo_world_recording.json,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_009/performance.json,90.0,108.704,2026-08-16T02:48:36+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_009,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_009/roslaunch.log
10,pre_cone_010_1786819840,daily,35,35,1,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq35,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_010/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_010/gazebo_world_state.log,10292989,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_010/gazebo_world_recording.json,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_010/performance.json,90.0,113.624,2026-08-16T02:50:40+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_010,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_010/roslaunch.log
